timestamp,frame_number,frame_len,frame_protocols,ip_src,ip_dst,tcp_srcport,tcp_dstport,tcp_flags,udp_srcport,udp_dstport,dns_qry_name,tls_handshake_extensions_server_name,http_request_method,http_request_uri,http_response_code
2026-02-10T17:42:02.230770,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:42:02.230832,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:42:04.043618,,,,,,,,,,,,,,,
2026-02-10T17:42:09.066485,,,,192.168.0.167,192.168.0.1,,,,47149,53,,,,,
2026-02-10T17:42:09.067634,,,,192.168.0.167,192.168.0.1,,,,17990,53,,,,,
2026-02-10T17:42:09.069602,,,,192.168.0.1,192.168.0.167,,,,53,47149,,,,,
2026-02-10T17:42:09.071377,,,,192.168.0.1,192.168.0.167,,,,53,17990,,,,,
2026-02-10T17:42:09.072166,,,,192.168.0.167,216.239.36.223,,,,41800,443,,,,,
2026-02-10T17:42:09.072733,,,,192.168.0.167,216.239.36.223,,,,41800,443,,,,,
2026-02-10T17:42:09.112385,,,,216.239.36.223,192.168.0.167,,,,443,41800,,,,,
2026-02-10T17:42:09.112386,,,,216.239.36.223,192.168.0.167,,,,443,41800,,,,,
2026-02-10T17:42:09.112386,,,,216.239.36.223,192.168.0.167,,,,443,41800,,,,,
2026-02-10T17:42:09.113105,,,,192.168.0.167,216.239.36.223,,,,41800,443,,,,,
2026-02-10T17:42:09.113626,,,,192.168.0.167,216.239.36.223,,,,41800,443,,,,,
2026-02-10T17:42:09.114457,,,,192.168.0.167,216.239.36.223,,,,41800,443,,,,,
2026-02-10T17:42:09.120792,,,,216.239.36.223,192.168.0.167,,,,443,41800,,,,,
2026-02-10T17:42:09.126923,,,,216.239.36.223,192.168.0.167,,,,443,41800,,,,,
2026-02-10T17:42:09.128524,,,,216.239.36.223,192.168.0.167,,,,443,41800,,,,,
2026-02-10T17:42:09.128776,,,,192.168.0.167,216.239.36.223,,,,41800,443,,,,,
2026-02-10T17:42:09.173217,,,,216.239.36.223,192.168.0.167,,,,443,41800,,,,,
2026-02-10T17:42:09.173217,,,,216.239.36.223,192.168.0.167,,,,443,41800,,,,,
2026-02-10T17:42:09.173662,,,,192.168.0.167,216.239.36.223,,,,41800,443,,,,,
2026-02-10T17:42:09.200299,,,,192.168.0.167,216.239.36.223,,,,41800,443,,,,,
2026-02-10T17:42:09.213006,,,,216.239.36.223,192.168.0.167,,,,443,41800,,,,,
2026-02-10T17:42:12.409936,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:42:12.410014,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:42:14.074313,,,,,,,,,,,,,,,
2026-02-10T17:42:14.074337,,,,,,,,,,,,,,,
2026-02-10T17:42:14.930728,,,,192.168.0.122,255.255.255.255,,,,39190,7989,,,,,
2026-02-10T17:42:15.053788,,,,,,,,,,,,,,,
2026-02-10T17:42:16.539655,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:42:16.556943,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:42:19.062054,,,,192.168.0.167,192.168.0.1,,,,21277,53,,,,,
2026-02-10T17:42:19.065201,,,,192.168.0.1,192.168.0.167,,,,53,21277,,,,,
2026-02-10T17:42:19.065389,,,,192.168.0.167,192.168.0.1,,,,36153,53,,,,,
2026-02-10T17:42:19.069036,,,,192.168.0.1,192.168.0.167,,,,53,36153,,,,,
2026-02-10T17:42:19.069826,,,,192.168.0.167,192.178.56.67,,,,38813,443,,,,,
2026-02-10T17:42:19.070813,,,,192.168.0.167,192.178.56.67,,,,38813,443,,,,,
2026-02-10T17:42:19.071498,,,,192.168.0.167,192.178.56.67,,,,38813,443,,,,,
2026-02-10T17:42:19.109783,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.109784,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.109784,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.109784,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.109784,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.110578,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.111710,,,,192.168.0.167,192.178.56.67,,,,38813,443,,,,,
2026-02-10T17:42:19.112141,,,,192.168.0.167,192.178.56.67,,,,38813,443,,,,,
2026-02-10T17:42:19.112521,,,,192.168.0.167,192.178.56.67,,,,38813,443,,,,,
2026-02-10T17:42:19.124777,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.150959,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.150959,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.151171,,,,192.168.0.167,192.178.56.67,,,,38813,443,,,,,
2026-02-10T17:42:19.151733,,,,192.168.0.167,192.178.56.67,,,,38813,443,,,,,
2026-02-10T17:42:19.165368,,,,192.178.56.67,192.168.0.167,,,,443,38813,,,,,
2026-02-10T17:42:19.184308,,,,192.168.0.167,192.178.56.67,,,,38813,443,,,,,
2026-02-10T17:42:21.714582,,,,,,,,,,,,,,,
2026-02-10T17:42:21.718888,,,,,,,,,,,,,,,
2026-02-10T17:42:22.005078,,,,172.217.2.138,192.168.0.167,,,,443,33306,,,,,
2026-02-10T17:42:22.011626,,,,192.168.0.167,172.217.2.138,,,,33306,443,,,,,
2026-02-10T17:42:22.588319,,,,127.0.0.1,127.0.0.1,,,,1194,38178,,,,,
2026-02-10T17:42:22.588383,,,,127.0.0.1,127.0.0.1,,,,38178,1194,,,,,
2026-02-10T17:42:23.525501,,,,192.168.0.129,224.0.0.251,,,,5353,5353,,,,,
2026-02-10T17:42:23.527100,,,,,,,,,5353,5353,,,,,
2026-02-10T17:42:23.527100,,,,192.168.0.129,224.0.0.251,,,,5353,5353,,,,,
2026-02-10T17:42:23.527100,,,,192.168.0.129,224.0.0.251,,,,5353,5353,,,,,
2026-02-10T17:42:23.527951,,,,,,,,,5353,5353,,,,,
2026-02-10T17:42:24.530991,,,,192.168.0.129,224.0.0.251,,,,5353,5353,,,,,
